Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Gender,Age,Claim
KML,Travel Agency,Online,Value Plan,9,INDONESIA,28.0,10.64,M,48,No
JZI,Airlines,Online,Basic Plan,21,PHILIPPINES,18.0,6.3,F,58,No
KML,Travel Agency,Online,Premier Plan,53,INDONESIA,38.0,14.44,F,48,No
JZI,Airlines,Online,Basic Plan,14,MALAYSIA,18.0,6.3,M,56,No
JZI,Airlines,Online,Basic Plan,36,INDONESIA,22.0,7.7,F,45,No
JZI,Airlines,Online,Basic Plan,106,HONG KONG,35.0,12.25,M,55,No
LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,123,LAO PEOPLE'S DEMOCRATIC REPUBLIC,31.0,20.15,F,12,No
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,23.5,5.88,F,57,No
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,29.5,7.38,F,30,No
JZI,Airlines,Online,Basic Plan,109,"KOREA, REPUBLIC OF",44.0,15.4,F,24,No
C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,216.0,54.0,M,33,No
C2B,Airlines,Online,Silver Plan,4,SINGAPORE,18.5,4.63,F,64,No
C2B,Airlines,Online,Bronze Plan,60,SINGAPORE,16.0,4.0,F,25,No
ART,Airlines,Online,24 Protect,2,PHILIPPINES,3.15,1.1,F,48,No
JZI,Airlines,Online,Basic Plan,3,THAILAND,18.0,6.3,M,47,No
JZI,Airlines,Online,Basic Plan,6,THAILAND,22.0,7.7,M,57,No
C2B,Airlines,Online,Bronze Plan,18,SINGAPORE,40.5,10.13,F,22,No
JZI,Airlines,Online,Value Plan,5,UNITED ARAB EMIRATES,67.0,23.45,F,48,No
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,193.2,48.3,F,36,No
C2B,Airlines,Online,Bronze Plan,30,SINGAPORE,0.0,13.38,F,28,No
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,17.0,4.25,F,34,No
C2B,Airlines,Online,Annual Silver Plan,371,SINGAPORE,161.0,40.25,M,37,No
JZI,Airlines,Online,Value Plan,7,CHINA,36.0,12.6,M,69,No
RAB,Airlines,Online,Value Plan,37,BRUNEI DARUSSALAM,15.0,6.0,M,30,No
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,161.0,40.25,M,30,No
TST,Travel Agency,Offline,Travel Cruise Protect,22,MALAYSIA,30.0,10.5,F,69,No
JZI,Airlines,Online,Basic Plan,9,CHINA,35.0,12.25,F,14,No
JZI,Airlines,Online,Basic Plan,7,CHINA,35.0,12.25,M,55,No
JZI,Airlines,Online,Basic Plan,7,CHINA,26.0,9.1,M,39,No
JZI,Airlines,Online,Basic Plan,11,THAILAND,22.0,7.7,F,36,No
TST,Travel Agency,Offline,Travel Cruise Protect,10,THAILAND,30.0,10.5,M,25,No
C2B,Airlines,Online,Bronze Plan,52,SINGAPORE,41.3,10.32,M,21,No
C2B,Airlines,Online,Bronze Plan,19,SINGAPORE,40.0,10.0,F,41,No
ART,Airlines,Online,Value Plan,9,CHINA,51.0,17.85,F,23,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,29.5,7.38,M,25,No
C2B,Airlines,Online,Bronze Plan,36,SINGAPORE,40.5,10.13,M,23,Yes
JZI,Airlines,Online,Basic Plan,23,CHINA,44.0,15.4,F,41,No
CCR,Travel Agency,Offline,Comprehensive Plan,128,THAILAND,29.0,9.57,F,76,No
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,23.5,5.88,F,31,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,21.0,5.25,F,26,No
C2B,Airlines,Online,Bronze Plan,20,SINGAPORE,17.55,4.39,M,38,No
JZI,Airlines,Online,Basic Plan,48,CHINA,40.0,14.0,F,58,No
C2B,Airlines,Online,Bronze Plan,2,SINGAPORE,11.5,2.88,M,37,No
JWT,Airlines,Online,Value Plan,19,INDIA,72.0,28.8,M,118,No
C2B,Airlines,Online,Bronze Plan,59,SINGAPORE,23.5,5.88,F,27,No
C2B,Airlines,Online,Silver Plan,11,SINGAPORE,22.5,5.63,M,45,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,30.55,7.64,M,37,No
JZI,Airlines,Online,Value Plan,63,UNITED STATES,164.0,57.4,M,45,No
LWC,Travel Agency,Online,Annual Travel Protect Gold,388,UNITED STATES,256.0,166.4,F,43,No
JZI,Airlines,Online,Basic Plan,27,JAPAN,22.0,7.7,M,36,No
JZI,Airlines,Online,Basic Plan,21,CHINA,26.0,9.1,M,57,No
C2B,Airlines,Online,Silver Plan,24,SINGAPORE,81.5,20.38,M,24,No
C2B,Airlines,Online,Bronze Plan,31,SINGAPORE,56.5,14.13,F,23,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,21.0,5.25,F,57,No
RAB,Airlines,Online,Value Plan,94,BRUNEI DARUSSALAM,15.0,6.0,M,24,No
JZI,Airlines,Online,Value Plan,83,JAPAN,0.0,20.3,F,32,No
TTW,Travel Agency,Offline,Individual Comprehensive Plan,364,SINGAPORE,97.0,0.0,F,39,No
JZI,Airlines,Online,Basic Plan,15,AUSTRALIA,26.0,9.1,M,61,No
C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,29.5,7.38,F,43,No
JZI,Airlines,Online,Basic Plan,64,CHINA,40.0,14.0,F,30,No
JZI,Airlines,Online,Basic Plan,5,CHINA,22.0,7.7,M,45,No
C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,47.0,11.75,M,31,No
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,11.5,2.88,M,25,No
CCR,Travel Agency,Offline,Premier Plan,20,THAILAND,58.0,19.14,M,65,No
JZI,Airlines,Online,Value Plan,86,GERMANY,149.0,52.15,F,41,No
C2B,Airlines,Online,Bronze Plan,37,SINGAPORE,40.0,10.0,M,46,No
C2B,Airlines,Online,Gold Plan,24,SINGAPORE,82.8,20.7,F,56,No
C2B,Airlines,Online,Silver Plan,18,SINGAPORE,29.5,7.38,M,27,No
JWT,Airlines,Online,Value Plan,16,INDIA,31.0,12.4,M,118,No
C2B,Airlines,Online,Silver Plan,11,SINGAPORE,58.2,14.55,M,46,No
KML,Travel Agency,Online,Premier Plan,31,ITALY,130.0,49.4,F,48,No
C2B,Airlines,Online,Bronze Plan,33,SINGAPORE,56.5,14.13,M,24,No
JZI,Airlines,Online,Basic Plan,6,THAILAND,22.0,7.7,M,67,No
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,216.0,54.0,F,40,No
C2B,Airlines,Online,Silver Plan,10,SINGAPORE,22.5,5.63,F,48,No
JWT,Airlines,Online,Value Plan,10,INDIA,39.0,15.6,M,118,No
C2B,Airlines,Online,Bronze Plan,76,SINGAPORE,27.0,6.75,F,61,No
C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,20.0,5.0,F,60,No
C2B,Airlines,Online,Annual Silver Plan,368,SINGAPORE,216.0,54.0,F,24,No
JWT,Airlines,Online,Value Plan,19,INDIA,31.0,12.4,M,118,No
C2B,Airlines,Online,Silver Plan,3,SINGAPORE,24.05,6.01,M,57,No
JZI,Airlines,Online,Basic Plan,6,CHINA,22.0,7.7,M,39,No
ART,Airlines,Online,24 Protect,15,SINGAPORE,35.4,12.39,M,48,No
C2B,Airlines,Online,Bronze Plan,34,SINGAPORE,13.5,3.38,F,32,No
JZI,Airlines,Online,Basic Plan,53,CHINA,40.0,14.0,F,28,No
JZI,Airlines,Online,Basic Plan,10,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,M,25,No
LWC,Travel Agency,Online,Annual Travel Protect Gold,367,UNITED STATES,256.2,166.53,M,61,No
C2B,Airlines,Online,Annual Silver Plan,394,SINGAPORE,216.0,54.0,M,40,No
C2B,Airlines,Online,Silver Plan,10,SINGAPORE,24.5,6.13,M,51,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,23.4,5.85,M,37,No
JZI,Airlines,Online,Basic Plan,2,CHINA,22.0,7.7,F,31,No
JZI,Airlines,Online,Basic Plan,7,THAILAND,22.0,7.7,M,59,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,13.5,3.38,F,33,No
JZI,Airlines,Online,Basic Plan,69,PHILIPPINES,37.0,12.95,F,39,No
JZI,Airlines,Online,Value Plan,105,"KOREA, REPUBLIC OF",45.0,15.75,F,19,Yes
C2B,Airlines,Online,Bronze Plan,52,SINGAPORE,17.55,4.39,F,75,No
JZI,Airlines,Online,Basic Plan,45,THAILAND,33.0,11.55,F,55,No
TTW,Travel Agency,Offline,Spouse or Parents Comprehensive Plan,365,SINGAPORE,86.0,0.0,F,50,No
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,20.0,5.0,F,29,No
C2B,Airlines,Online,Silver Plan,48,SINGAPORE,63.5,15.88,F,34,No
JZI,Airlines,Online,Basic Plan,3,MALAYSIA,18.0,6.3,M,42,No
JZI,Airlines,Online,Basic Plan,84,HONG KONG,56.0,19.6,F,22,No
JZI,Airlines,Online,Basic Plan,23,JAPAN,35.0,12.25,M,26,No
C2B,Airlines,Online,Bronze Plan,1,SINGAPORE,13.5,3.38,F,34,No
RAB,Airlines,Online,Value Plan,92,BRUNEI DARUSSALAM,15.0,6.0,F,25,No
JZI,Airlines,Online,Basic Plan,36,CHINA,22.0,7.7,M,31,No
JZI,Airlines,Online,Basic Plan,18,AUSTRALIA,35.0,12.25,F,44,No
TST,Travel Agency,Offline,Travel Cruise Protect,15,THAILAND,30.0,10.5,F,53,No
C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,216.0,54.0,M,18,No
C2B,Airlines,Online,Annual Silver Plan,371,SINGAPORE,187.85,46.96,F,60,No
C2B,Airlines,Online,Silver Plan,20,SINGAPORE,45.5,11.38,M,44,No
C2B,Airlines,Online,Bronze Plan,35,SINGAPORE,61.5,15.38,F,22,No
C2B,Airlines,Online,Silver Plan,5,SINGAPORE,49.2,12.3,M,28,No
JZI,Airlines,Online,Basic Plan,38,HONG KONG,26.0,9.1,M,30,No
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,17.55,4.39,M,29,No
C2B,Airlines,Online,Silver Plan,70,SINGAPORE,22.5,5.63,M,26,No
CSR,Travel Agency,Offline,Comprehensive Plan,35,THAILAND,29.0,9.57,M,24,No
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,23.5,5.88,F,25,No
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,16.0,4.0,M,19,No
C2B,Airlines,Online,Silver Plan,12,SINGAPORE,0.0,11.7,M,27,No
C2B,Airlines,Online,Annual Silver Plan,369,SINGAPORE,259.2,64.8,M,33,No
JZI,Airlines,Online,Basic Plan,35,THAILAND,37.0,12.95,M,64,No
JZI,Airlines,Online,Value Plan,25,CANADA,138.0,48.3,F,46,Yes
C2B,Airlines,Online,Annual Gold Plan,371,SINGAPORE,287.4,71.85,F,39,No
C2B,Airlines,Online,Bronze Plan,25,SINGAPORE,23.5,5.88,F,34,No
C2B,Airlines,Online,Silver Plan,18,SINGAPORE,55.8,13.95,M,39,No
C2B,Airlines,Online,Bronze Plan,15,SINGAPORE,34.5,8.63,M,28,No
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,29.5,7.38,M,22,No
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,16.0,4.0,F,44,No
JZI,Airlines,Online,Basic Plan,9,CHINA,22.0,7.7,F,46,No
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,21.0,5.25,F,75,No
C2B,Airlines,Online,Silver Plan,55,SINGAPORE,22.5,5.63,M,31,No
C2B,Airlines,Online,Annual Gold Plan,365,SINGAPORE,389.35,97.34,F,67,No
JZI,Airlines,Online,Basic Plan,9,VIET NAM,18.0,6.3,M,57,No
JZI,Airlines,Online,Basic Plan,8,CHINA,22.0,7.7,M,40,No
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,259.2,64.8,F,34,No
C2B,Airlines,Online,Bronze Plan,41,SINGAPORE,30.55,7.64,M,28,No
JZI,Airlines,Online,Value Plan,102,NEW ZEALAND,92.0,32.2,M,53,No
LWC,Travel Agency,Online,Annual Travel Protect Platinum,387,UNITED STATES,323.4,210.21,F,55,No
C2B,Airlines,Online,Bronze Plan,19,SINGAPORE,40.5,10.13,F,25,No
JZI,Airlines,Online,Basic Plan,28,PHILIPPINES,22.0,7.7,M,57,No
JZI,Airlines,Online,Basic Plan,12,"TAIWAN, PROVINCE OF CHINA",22.0,7.7,F,49,No
C2B,Airlines,Online,Annual Silver Plan,374,SINGAPORE,216.0,54.0,M,54,No
JZI,Airlines,Online,Basic Plan,13,THAILAND,22.0,7.7,F,39,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,16.0,4.0,F,35,No
CCR,Travel Agency,Offline,Comprehensive Plan,30,THAILAND,29.0,9.57,F,45,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,22.1,5.53,F,68,No
JWT,Airlines,Online,Value Plan,9,INDIA,50.0,20.0,M,118,No
JZI,Airlines,Online,Basic Plan,51,INDONESIA,22.0,7.7,M,40,No
LWC,Travel Agency,Online,Annual Travel Protect Silver,364,CHINA,165.0,107.25,F,27,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,21.0,5.25,M,27,No
C2B,Airlines,Online,Silver Plan,26,SINGAPORE,-39.0,9.75,F,35,No
C2B,Airlines,Online,Silver Plan,10,SINGAPORE,47.5,11.88,F,43,No
JZI,Airlines,Online,Basic Plan,7,INDONESIA,22.0,7.7,M,31,No
C2B,Airlines,Online,Silver Plan,13,SINGAPORE,0.0,11.88,F,42,No
JZI,Airlines,Online,Basic Plan,9,VIET NAM,22.0,7.7,F,54,No
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,11,UNITED STATES,48.5,31.53,F,29,No
JZI,Airlines,Online,Basic Plan,6,THAILAND,22.0,7.7,F,60,No
C2B,Airlines,Online,Bronze Plan,20,SINGAPORE,59.0,14.75,M,63,No
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,35.25,8.81,F,32,No
TST,Travel Agency,Offline,Travel Cruise Protect,71,THAILAND,30.0,10.5,M,58,No
C2B,Airlines,Online,Silver Plan,21,SINGAPORE,70.85,17.71,F,43,No
JZI,Airlines,Online,Value Plan,7,SRI LANKA,36.0,12.6,M,48,No
C2B,Airlines,Online,Silver Plan,23,SINGAPORE,88.5,22.13,M,28,No
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,29.5,7.38,M,32,No
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,20.0,5.0,M,28,No
C2B,Airlines,Online,Annual Silver Plan,385,SINGAPORE,259.2,64.8,F,53,No
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,20.0,5.0,M,79,No
C2B,Airlines,Online,Silver Plan,17,SINGAPORE,62.0,15.5,F,50,No
C2B,Airlines,Online,Silver Plan,15,SINGAPORE,64.35,16.09,F,57,No
JZI,Airlines,Online,Value Plan,3,MALAYSIA,26.0,9.1,F,59,No
JZI,Airlines,Online,Basic Plan,26,THAILAND,22.0,7.7,F,21,No
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,252.85,63.21,F,48,No
JZI,Airlines,Online,Basic Plan,25,VIET NAM,22.0,7.7,M,51,No
JZI,Airlines,Online,Value Plan,67,UNITED STATES,73.0,25.55,M,54,No
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,16.0,4.0,F,32,No
C2B,Airlines,Online,Bronze Plan,18,SINGAPORE,33.5,8.38,F,68,No
C2B,Airlines,Online,Silver Plan,39,SINGAPORE,93.6,23.4,F,72,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,20.0,5.0,F,31,No
JZI,Airlines,Online,Premier Plan,6,UNITED STATES,91.0,31.85,F,45,No
JZI,Airlines,Online,Basic Plan,11,INDIA,40.0,14.0,M,42,No
C2B,Airlines,Online,Bronze Plan,48,SINGAPORE,113.0,28.25,F,54,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,35.5,8.88,F,27,No
JZI,Airlines,Online,Value Plan,9,HONG KONG,45.0,15.75,F,27,No
C2B,Airlines,Online,Silver Plan,13,SINGAPORE,62.0,15.5,F,42,No
JZI,Airlines,Online,Basic Plan,10,THAILAND,30.0,10.5,M,56,No
C2B,Airlines,Online,Bronze Plan,20,SINGAPORE,13.5,3.38,M,29,No
C2B,Airlines,Online,Bronze Plan,24,SINGAPORE,53.0,13.25,F,50,No
C2B,Airlines,Online,Silver Plan,17,SINGAPORE,29.5,7.38,M,50,No
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,17.0,4.25,M,43,No
JZI,Airlines,Online,Value Plan,23,JAPAN,69.0,24.15,F,26,No
LWC,Travel Agency,Online,Single Trip Travel Protect Silver,10,INDONESIA,25.0,16.25,F,44,No
JZI,Airlines,Online,Value Plan,16,INDIA,69.0,24.15,M,48,No
C2B,Airlines,Online,Gold Plan,38,SINGAPORE,49.0,12.25,M,31,No
TTW,Travel Agency,Offline,Spouse or Parents Comprehensive Plan,368,SINGAPORE,86.0,0.0,F,30,No
JZI,Airlines,Online,Basic Plan,12,THAILAND,18.0,6.3,M,39,No
JZI,Airlines,Online,Basic Plan,22,VIET NAM,18.0,6.3,F,37,No
RAB,Airlines,Online,Value Plan,17,BRUNEI DARUSSALAM,-15.0,6.0,F,50,No
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,259.2,64.8,F,26,Yes
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,33.5,8.38,M,38,No
C2B,Airlines,Online,Annual Silver Plan,372,SINGAPORE,216.0,54.0,M,31,No
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,252.85,63.21,M,62,Yes
ART,Airlines,Online,24 Protect,7,THAILAND,19.88,6.96,M,48,No
JZI,Airlines,Online,Value Plan,10,THAILAND,33.0,11.55,M,46,No
CBH,Travel Agency,Offline,Comprehensive Plan,58,MALAYSIA,29.0,9.57,F,65,No
JZI,Airlines,Online,Basic Plan,10,THAILAND,22.0,7.7,M,44,No
LWC,Travel Agency,Online,Single Trip Travel Protect Silver,17,AUSTRIA,56.5,36.73,M,28,No
JZI,Airlines,Online,Value Plan,80,UNITED ARAB EMIRATES,109.0,38.15,F,29,No
C2B,Airlines,Online,Annual Silver Plan,377,SINGAPORE,216.0,54.0,F,30,No
JZI,Airlines,Online,Basic Plan,79,PHILIPPINES,37.0,12.95,F,39,No
C2B,Airlines,Online,Gold Plan,48,SINGAPORE,285.0,71.25,F,57,No
RAB,Airlines,Online,Value Plan,18,BRUNEI DARUSSALAM,15.0,6.0,M,38,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,29.5,7.38,M,22,No
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,17.5,4.38,M,44,No
JZI,Airlines,Online,Basic Plan,17,VIET NAM,30.0,10.5,M,46,No
JZI,Airlines,Online,Basic Plan,7,PHILIPPINES,22.0,7.7,M,39,No
JZI,Airlines,Online,Basic Plan,2,INDONESIA,18.0,6.3,M,42,No
JZI,Airlines,Online,Basic Plan,6,CHINA,22.0,7.7,M,34,No
JZI,Airlines,Online,Basic Plan,10,THAILAND,22.0,7.7,M,48,No
KML,Travel Agency,Online,Value Plan,18,NETHERLANDS,75.0,28.5,M,48,No
JWT,Airlines,Online,Value Plan,27,INDIA,31.0,12.4,F,118,No
C2B,Airlines,Online,Gold Plan,13,SINGAPORE,52.8,13.2,F,55,No
C2B,Airlines,Online,Annual Silver Plan,383,SINGAPORE,216.0,54.0,F,29,No
C2B,Airlines,Online,Annual Silver Plan,371,SINGAPORE,161.0,40.25,M,44,No
LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,11,VIET NAM,37.5,24.38,M,43,No
JZI,Airlines,Online,Basic Plan,17,MALAYSIA,30.0,10.5,F,38,No
LWC,Travel Agency,Online,Single Trip Travel Protect Silver,29,UNITED KINGDOM,47.0,30.55,F,38,Yes
C2B,Airlines,Online,Annual Silver Plan,382,SINGAPORE,216.0,54.0,F,32,No
JZI,Airlines,Online,Basic Plan,14,HONG KONG,26.0,9.1,M,18,No
C2B,Airlines,Online,Silver Plan,7,SINGAPORE,35.4,8.85,F,33,No
JZI,Airlines,Online,Basic Plan,26,MALAYSIA,30.0,10.5,M,38,No
C2B,Airlines,Online,Bronze Plan,91,SINGAPORE,27.0,6.75,F,23,No
JZI,Airlines,Online,Basic Plan,3,CHINA,22.0,7.7,M,47,No
C2B,Airlines,Online,Silver Plan,124,SINGAPORE,43.55,10.89,F,38,No
JWT,Airlines,Online,Value Plan,28,INDIA,39.0,15.6,F,118,No
CBH,Travel Agency,Offline,Comprehensive Plan,62,MALAYSIA,29.0,9.57,M,38,No
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,23.0,5.75,M,23,No
KML,Travel Agency,Online,Value Plan,82,UNITED KINGDOM,75.0,28.5,M,48,No
JZI,Airlines,Online,Basic Plan,63,THAILAND,18.0,6.3,F,40,No
C2B,Airlines,Online,Silver Plan,21,SINGAPORE,36.75,9.19,F,55,No
C2B,Airlines,Online,Bronze Plan,18,SINGAPORE,44.85,11.21,F,21,No
JZI,Airlines,Online,Basic Plan,14,VIET NAM,22.0,7.7,M,61,No
JZI,Airlines,Online,Basic Plan,29,CHINA,35.0,12.25,F,32,No
JZI,Airlines,Online,Basic Plan,8,CHINA,22.0,7.7,M,44,No
C2B,Airlines,Online,Bronze Plan,44,SINGAPORE,30.55,7.64,M,68,No
JZI,Airlines,Online,Basic Plan,13,SRI LANKA,40.0,14.0,F,56,No
CCR,Travel Agency,Offline,Comprehensive Plan,192,MALAYSIA,29.0,9.57,F,39,No
JWT,Airlines,Online,Value Plan,37,INDIA,39.0,15.6,M,118,No
C2B,Airlines,Online,Silver Plan,23,SINGAPORE,29.0,7.25,F,40,No
JZI,Airlines,Online,Basic Plan,19,INDONESIA,22.0,7.7,F,40,No
JWT,Airlines,Online,Value Plan,23,INDIA,31.0,12.4,M,118,No
C2B,Airlines,Online,Silver Plan,23,SINGAPORE,81.5,20.38,F,41,No
