Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
C2B,Airlines,Online,Annual Silver Plan,Yes,365,SINGAPORE,284.79,64.15,M,27
C2B,Airlines,Online,Silver Plan,Yes,14,SINGAPORE,45.79,19.63,M,45
LWC,Travel Agency,Online,Annual Travel Protect Silver,Yes,384,CHINA,186.52,36.46,F,40
LWC,Travel Agency,Online,Annual Silver Plan,Yes,375,SINGAPORE,217.92,58.81,M,41
C2B,Airlines,Online,Annual Silver Plan,Yes,369,SINGAPORE,219.92,54.64,M,57
C2B,Airlines,Online,Annual Silver Plan,Yes,360,SINGAPORE,206.25,57.28,M,45
C2B,Airlines,Online,Gold Plan,Yes,75,SINGAPORE,89.32,20.9,F,46
C2B,Airlines,Online,Silver Plan,Yes,57,SINGAPORE,98.01,20.36,F,46
C2B,Airlines,Online,Annual Silver Plan,Yes,348,SINGAPORE,187.96,59.06,F,30
C2B,Airlines,Online,Annual Silver Plan,Yes,369,SINGAPORE,218.59,54.67,M,45
C2B,Airlines,Online,Annual Silver Plan,Yes,371,SINGAPORE,232.11,56.63,M,26
C2B,Airlines,Online,Annual Silver Plan,Yes,361,SINGAPORE,232.54,54.02,M,34
LWC,Travel Agency,Online,Annual Travel Protect Gold,Yes,387,UNITED STATES,240.2,192.92,M,40
LWC,Travel Agency,Online,Annual Travel Protect Gold,Yes,404,CHINA,129.57,140.43,F,29
LWC,Travel Agency,Online,Annual Travel Protect Silver,Yes,386,CHINA,20.75,132.35,F,30
C2B,Airlines,Online,Annual Silver Plan,Yes,420,SINGAPORE,377.83,127.97,M,49
C2B,Airlines,Online,Value Plan,Yes,64,INDONESIA,124.15,23.83,F,53
C2B,Airlines,Online,Annual Silver Plan,Yes,404,SINGAPORE,214.25,63.92,M,20
LWC,Travel Agency,Online,Annual Gold Plan,Yes,364,SINGAPORE,213.19,75.5,M,36
C2B,Airlines,Online,Annual Silver Plan,Yes,351,SINGAPORE,275.71,57.93,M,44
C2B,Airlines,Online,Annual Silver Plan,Yes,434,SINGAPORE,256.33,147.26,M,44
C2B,Airlines,Online,Annual Silver Plan,Yes,350,SINGAPORE,257.66,57.17,F,36
C2B,Airlines,Online,Annual Silver Plan,Yes,334,SINGAPORE,147.33,90.78,M,34
C2B,Airlines,Online,Annual Silver Plan,Yes,371,SINGAPORE,127.73,51.68,M,30
C2B,Airlines,Online,Annual Silver Plan,Yes,382,SINGAPORE,231.85,55.72,M,31
C2B,Airlines,Online,Gold Plan,Yes,28,SINGAPORE,92.71,18.18,F,51
C2B,Airlines,Online,Annual Silver Plan,Yes,361,SINGAPORE,227.1,130.3,M,43
C2B,Airlines,Online,Annual Silver Plan,Yes,387,SINGAPORE,223.5,54.6,M,36
C2B,Airlines,Online,Annual Silver Plan,Yes,378,SINGAPORE,249.07,57.74,M,30
C2B,Airlines,Online,Annual Silver Plan,Yes,341,SINGAPORE,199.31,114.53,M,69
LWC,Travel Agency,Online,Annual Travel Protect Silver,Yes,425,CHINA,183.64,94.45,M,32
C2B,Airlines,Online,Annual Silver Plan,Yes,428,SINGAPORE,223.63,60.5,M,26
C2B,Travel Agency,Online,Annual Silver Plan,Yes,410,SINGAPORE,233.48,58.35,F,37
C2B,Airlines,Online,Annual Silver Plan,Yes,363,SINGAPORE,290.49,93.63,M,23
C2B,Airlines,Online,Annual Silver Plan,Yes,383,SINGAPORE,306.73,68.47,M,47
C2B,Travel Agency,Online,Annual Silver Plan,Yes,412,SINGAPORE,157.85,50.9,M,31
C2B,Airlines,Online,Annual Silver Plan,Yes,391,SINGAPORE,280.09,202.65,M,22
C2B,Airlines,Online,Silver Plan,Yes,9,SINGAPORE,38.06,10.13,F,56
C2B,Airlines,Online,Annual Silver Plan,Yes,367,SINGAPORE,209.96,59.62,M,28
LWC,Travel Agency,Online,Annual Travel Protect Silver,Yes,395,CHINA,169.45,48.43,F,52
LWC,Travel Agency,Online,Single Trip Travel Protect Silver,Yes,7,CHINA,44.93,24.32,M,19
CCR,Travel Agency,Offline,Comprehensive Plan,Yes,194,THAILAND,22.15,10.48,F,25
C2B,Airlines,Online,Annual Silver Plan,Yes,429,SINGAPORE,140.0,118.83,M,37
LWC,Travel Agency,Online,Annual Travel Protect Gold,Yes,389,CHINA,212.61,142.61,M,28
C2B,Airlines,Online,Annual Gold Plan,Yes,385,SINGAPORE,252.2,98.18,M,32
C2B,Airlines,Online,Annual Silver Plan,Yes,367,SINGAPORE,305.78,61.53,M,44
LWC,Travel Agency,Online,Annual Travel Protect Gold,Yes,398,UNITED STATES,234.65,173.91,M,47
C2B,Travel Agency,Online,Annual Travel Protect Gold,Yes,393,UNITED STATES,242.96,180.46,M,61
CCR,Travel Agency,Offline,Comprehensive Plan,Yes,15,THAILAND,27.45,7.82,F,30
C2B,Airlines,Online,Annual Silver Plan,Yes,346,SINGAPORE,302.75,122.75,M,22
C2B,Travel Agency,Online,Annual Gold Plan,Yes,388,SINGAPORE,155.94,43.49,M,48
LWC,Travel Agency,Online,Individual Comprehensive Plan,Yes,68,THAILAND,16.57,13.01,F,21
C2B,Travel Agency,Online,Annual Silver Plan,Yes,375,SINGAPORE,122.61,108.42,M,51
C2B,Airlines,Online,Annual Silver Plan,Yes,395,SINGAPORE,291.24,58.87,M,34
C2B,Airlines,Online,Annual Silver Plan,Yes,399,SINGAPORE,224.67,60.94,F,48
C2B,Travel Agency,Online,Annual Travel Protect Gold,Yes,379,SINGAPORE,235.02,140.99,M,35
C2B,Travel Agency,Online,Annual Silver Plan,Yes,394,SINGAPORE,213.35,130.4,F,33
C2B,Airlines,Online,Annual Silver Plan,Yes,370,SINGAPORE,211.11,51.52,M,47
C2B,Airlines,Online,Annual Silver Plan,Yes,340,SINGAPORE,160.89,24.15,M,28
TTW,Travel Agency,Offline,Individual Comprehensive Plan,Yes,352,SINGAPORE,121.74,0.87,F,27
C2B,Airlines,Online,Annual Silver Plan,Yes,376,SINGAPORE,245.72,67.72,M,51
LWC,Travel Agency,Online,Annual Travel Protect Gold,Yes,390,CHINA,213.4,134.82,F,31
C2B,Airlines,Online,Annual Silver Plan,Yes,372,SINGAPORE,177.06,43.59,M,35
C2B,Airlines,Online,Annual Silver Plan,Yes,373,SINGAPORE,197.89,48.31,F,37
C2B,Airlines,Online,Annual Silver Plan,Yes,424,SINGAPORE,197.42,118.0,M,49
C2B,Travel Agency,Online,Annual Gold Plan,Yes,403,SINGAPORE,309.23,129.72,M,51
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,Yes,315,PHILIPPINES,78.26,21.93,F,31
C2B,Airlines,Online,Annual Silver Plan,Yes,387,SINGAPORE,228.53,57.88,M,40
C2B,Airlines,Online,Annual Silver Plan,Yes,336,SINGAPORE,320.87,57.81,M,38
C2B,Airlines,Online,Annual Silver Plan,Yes,421,SINGAPORE,230.79,126.73,M,32
C2B,Travel Agency,Online,Annual Silver Plan,Yes,472,UNITED STATES,139.69,132.38,F,34
LWC,Travel Agency,Online,Single Trip Travel Protect Silver,Yes,123,JAPAN,29.35,18.12,F,33
C2B,Airlines,Online,Annual Silver Plan,Yes,381,SINGAPORE,254.75,82.54,M,52
C2B,Travel Agency,Online,Annual Gold Plan,Yes,385,SINGAPORE,270.03,141.09,F,50
C2B,Airlines,Online,Bronze Plan,Yes,32,SINGAPORE,43.52,17.36,M,44
C2B,Airlines,Online,Annual Silver Plan,Yes,411,SINGAPORE,397.02,144.08,M,50
C2B,Airlines,Online,Annual Silver Plan,Yes,435,SINGAPORE,217.49,109.82,F,46
C2B,Airlines,Online,Annual Silver Plan,Yes,351,SINGAPORE,228.84,117.72,F,71
C2B,Airlines,Online,Annual Silver Plan,Yes,365,SINGAPORE,279.86,59.16,M,35
C2B,Airlines,Online,Annual Silver Plan,Yes,380,SINGAPORE,249.04,116.97,M,24
CCR,Travel Agency,Offline,Comprehensive Plan,Yes,13,THAILAND,33.13,17.96,F,25
CCR,Travel Agency,Offline,Comprehensive Plan,Yes,157,THAILAND,25.46,8.69,F,31
C2B,Airlines,Online,Annual Silver Plan,Yes,371,SINGAPORE,225.36,52.78,F,28
C2B,Airlines,Online,Annual Silver Plan,Yes,392,SINGAPORE,230.26,57.68,M,44
C2B,Travel Agency,Online,Annual Silver Plan,Yes,410,SINGAPORE,325.05,168.07,M,48
JZI,Airlines,Online,Basic Plan,Yes,29,CHINA,44.05,11.44,F,61
LWC,Travel Agency,Online,Annual Travel Protect Gold,Yes,363,CHINA,234.31,143.79,M,30
C2B,Travel Agency,Online,Annual Silver Plan,Yes,429,SINGAPORE,281.61,146.86,M,47
C2B,Airlines,Online,Silver Plan,Yes,8,SINGAPORE,44.86,16.96,M,29
JZI,Airlines,Online,Value Plan,Yes,15,"TAIWAN, PROVINCE OF CHINA",46.31,25.1,F,39
C2B,Airlines,Online,Gold Plan,Yes,22,SINGAPORE,89.94,22.42,M,43
LWC,Travel Agency,Online,Annual Travel Protect Gold,Yes,359,CHINA,239.38,152.04,F,57
C2B,Airlines,Online,Annual Silver Plan,Yes,329,SINGAPORE,279.94,158.8,M,23
JZI,Airlines,Online,Basic Plan,Yes,81,SINGAPORE,42.21,13.66,F,56
C2B,Airlines,Online,Annual Silver Plan,Yes,388,SINGAPORE,228.74,66.22,M,31
C2B,Travel Agency,Online,Annual Travel Protect Gold,Yes,386,UNITED STATES,301.79,185.68,M,28
ADM,Travel Agency,Online,Annual Gold Plan,Yes,419,FRANCE,332.06,89.17,M,50
LWC,Travel Agency,Online,Annual Travel Protect Gold,Yes,394,CHINA,185.53,130.65,F,64
JZI,Airlines,Online,Basic Plan,Yes,23,HONG KONG,91.69,22.95,F,45
C2B,Airlines,Online,Annual Silver Plan,Yes,406,SINGAPORE,250.48,100.7,F,41
LWC,Airlines,Online,Annual Travel Protect Gold,Yes,349,SINGAPORE,225.76,156.47,M,39
CCR,Travel Agency,Offline,Comprehensive Plan,Yes,27,THAILAND,29.75,9.57,F,25
C2B,Airlines,Online,Annual Silver Plan,Yes,374,SINGAPORE,151.04,50.03,F,32
C2B,Airlines,Online,Annual Silver Plan,Yes,347,SINGAPORE,229.42,54.42,M,30
JZI,Airlines,Online,Basic Plan,Yes,82,"TAIWAN, PROVINCE OF CHINA",41.53,13.7,F,61
C2B,Airlines,Online,Annual Silver Plan,Yes,448,SINGAPORE,189.6,132.19,F,33
C2B,Airlines,Online,Annual Silver Plan,Yes,391,SINGAPORE,277.07,112.79,M,39
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,Yes,11,PHILIPPINES,25.59,15.1,F,28
C2B,Airlines,Online,Annual Silver Plan,Yes,352,SINGAPORE,233.85,56.54,M,30
C2B,Airlines,Online,Annual Silver Plan,Yes,334,SINGAPORE,234.79,57.1,M,21
C2B,Airlines,Online,Annual Silver Plan,Yes,371,SINGAPORE,266.65,69.29,M,23
C2B,Airlines,Online,Annual Silver Plan,Yes,399,SINGAPORE,440.4,159.81,M,46
C2B,Airlines,Online,Annual Silver Plan,Yes,386,SINGAPORE,180.55,46.11,M,30
C2B,Airlines,Online,Annual Silver Plan,Yes,349,SINGAPORE,80.15,55.36,F,71
C2B,Airlines,Online,Annual Silver Plan,Yes,394,SINGAPORE,271.88,68.24,M,44
C2B,Airlines,Online,Annual Silver Plan,Yes,347,SINGAPORE,229.42,57.19,M,24
C2B,Travel Agency,Online,Annual Silver Plan,Yes,417,SINGAPORE,243.9,148.21,M,26
C2B,Airlines,Online,Annual Silver Plan,Yes,373,SINGAPORE,336.35,78.05,M,34
C2B,Airlines,Online,Annual Silver Plan,Yes,408,SINGAPORE,315.67,106.07,M,32
C2B,Airlines,Online,Annual Silver Plan,Yes,397,SINGAPORE,284.81,72.76,M,48
C2B,Airlines,Online,Annual Silver Plan,Yes,385,SINGAPORE,225.77,59.55,M,37
C2B,Airlines,Online,Annual Silver Plan,Yes,396,SINGAPORE,207.83,114.32,M,28
C2B,Airlines,Online,Bronze Plan,Yes,93,SINGAPORE,41.34,10.73,M,24
LWC,Airlines,Online,Annual Travel Protect Gold,Yes,353,CHINA,168.78,57.09,M,40
C2B,Airlines,Online,Annual Silver Plan,Yes,386,SINGAPORE,249.18,68.25,M,29
C2B,Airlines,Online,Annual Silver Plan,Yes,375,SINGAPORE,250.76,55.13,M,32
C2B,Airlines,Online,Annual Silver Plan,Yes,410,SINGAPORE,304.47,90.06,M,28
C2B,Airlines,Online,Annual Silver Plan,Yes,374,SINGAPORE,183.98,85.21,M,36
CCR,Travel Agency,Online,Comprehensive Plan,Yes,121,THAILAND,21.19,18.06,F,31
C2B,Airlines,Online,Annual Silver Plan,Yes,385,SINGAPORE,219.84,149.42,M,36
CCR,Travel Agency,Offline,Comprehensive Plan,Yes,17,THAILAND,28.78,9.48,F,34
C2B,Airlines,Online,Annual Silver Plan,Yes,374,SINGAPORE,206.22,57.55,M,31
LWC,Travel Agency,Online,Annual Travel Protect Gold,Yes,374,SINGAPORE,209.24,126.47,M,45
C2B,Airlines,Online,Annual Silver Plan,Yes,358,SINGAPORE,229.04,50.79,M,27
C2B,Airlines,Online,Bronze Plan,Yes,21,SINGAPORE,39.18,9.41,M,27
LWC,Travel Agency,Online,Annual Travel Protect Gold,Yes,371,CHINA,206.92,133.43,M,57
LWC,Travel Agency,Online,Annual Silver Plan,Yes,390,SINGAPORE,236.52,62.75,M,32
LWC,Travel Agency,Online,Annual Travel Protect Gold,Yes,370,CHINA,208.1,109.6,F,43
C2B,Travel Agency,Online,Annual Silver Plan,Yes,373,SINGAPORE,188.91,46.52,M,31
C2B,Airlines,Online,Bronze Plan,Yes,77,SINGAPORE,33.94,8.66,F,39
LWC,Travel Agency,Offline,Comprehensive Plan,Yes,11,MALAYSIA,34.0,12.95,F,32
C2B,Airlines,Online,Annual Silver Plan,Yes,390,SINGAPORE,248.61,111.06,M,41
CSR,Travel Agency,Offline,Comprehensive Plan,Yes,57,THAILAND,24.65,8.15,F,72
C2B,Airlines,Online,Annual Silver Plan,Yes,440,SINGAPORE,230.75,63.29,M,46
C2B,Airlines,Online,Annual Silver Plan,Yes,350,SINGAPORE,410.49,97.07,M,34
C2B,Airlines,Online,Annual Silver Plan,Yes,359,SINGAPORE,194.98,52.15,M,49
C2B,Travel Agency,Online,Annual Silver Plan,Yes,426,SINGAPORE,189.18,130.47,F,61
C2B,Airlines,Online,Annual Silver Plan,Yes,376,SINGAPORE,267.42,66.89,M,42
C2B,Airlines,Online,Annual Silver Plan,Yes,427,SINGAPORE,189.7,50.01,F,58
C2B,Travel Agency,Online,Annual Silver Plan,Yes,378,SINGAPORE,132.4,101.5,M,27
LWC,Travel Agency,Online,Annual Silver Plan,Yes,375,CHINA,108.89,129.39,F,29
C2B,Airlines,Online,Annual Silver Plan,Yes,337,SINGAPORE,219.4,52.53,M,49
C2B,Airlines,Online,Annual Silver Plan,Yes,346,SINGAPORE,230.43,46.82,F,39
C2B,Airlines,Online,Annual Silver Plan,Yes,388,SINGAPORE,261.62,165.66,M,44
C2B,Airlines,Online,Annual Silver Plan,Yes,358,SINGAPORE,235.25,60.0,M,28
C2B,Airlines,Online,Annual Silver Plan,Yes,390,SINGAPORE,137.83,52.98,F,40
TTW,Travel Agency,Offline,Child Comprehensive Plan,Yes,353,SINGAPORE,75.36,0.0,F,24
C2B,Airlines,Online,Annual Silver Plan,Yes,385,SINGAPORE,199.28,56.26,F,51
C2B,Airlines,Online,Annual Silver Plan,Yes,363,SINGAPORE,294.12,64.97,M,40
C2B,Travel Agency,Online,Annual Silver Plan,Yes,377,SINGAPORE,190.9,114.26,M,50
C2B,Airlines,Online,Annual Silver Plan,Yes,410,SINGAPORE,340.49,142.13,M,45
C2B,Airlines,Online,Silver Plan,Yes,84,SINGAPORE,44.01,15.41,F,27
C2B,Airlines,Online,Silver Plan,Yes,62,SINGAPORE,43.92,14.86,F,63
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,Yes,81,PHILIPPINES,20.51,16.25,F,25
C2B,Airlines,Online,Annual Gold Plan,Yes,359,SINGAPORE,423.12,104.02,M,30
C2B,Travel Agency,Online,Annual Silver Plan,Yes,435,SINGAPORE,286.69,120.78,M,37
C2B,Airlines,Online,Silver Plan,Yes,55,SINGAPORE,44.51,20.77,M,61
LWC,Travel Agency,Online,Annual Travel Protect Gold,Yes,362,SINGAPORE,238.51,136.07,M,40
C2B,Airlines,Online,Annual Silver Plan,Yes,368,SINGAPORE,222.18,132.8,M,48
C2B,Airlines,Online,Annual Silver Plan,Yes,380,SINGAPORE,194.33,54.39,M,46
C2B,Travel Agency,Online,Annual Travel Protect Gold,Yes,359,SINGAPORE,403.85,138.88,M,19
C2B,Airlines,Online,Silver Plan,Yes,96,SINGAPORE,69.73,19.0,F,26
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,Yes,342,CHINA,87.07,53.5,F,60
C2B,Travel Agency,Online,Annual Travel Protect Gold,Yes,357,SINGAPORE,238.48,158.93,M,31
LWC,Travel Agency,Online,Single Trip Travel Protect Silver,Yes,10,JAPAN,27.31,24.5,F,27
C2B,Airlines,Online,Annual Silver Plan,Yes,362,SINGAPORE,203.92,53.74,F,44
LWC,Travel Agency,Online,Annual Travel Protect Silver,Yes,401,CHINA,172.34,50.55,F,54
C2B,Airlines,Online,Annual Silver Plan,Yes,383,SINGAPORE,171.98,50.14,M,50
LWC,Travel Agency,Offline,Individual Comprehensive Plan,Yes,367,CHINA,113.13,7.84,F,28
C2B,Airlines,Online,Annual Silver Plan,Yes,362,SINGAPORE,214.34,48.94,M,45
C2B,Airlines,Online,Annual Silver Plan,Yes,395,SINGAPORE,286.11,77.65,M,29
C2B,Airlines,Online,Annual Silver Plan,Yes,371,SINGAPORE,246.78,60.64,M,46
C2B,Airlines,Online,Annual Silver Plan,Yes,415,SINGAPORE,163.65,47.6,M,53
JZI,Airlines,Online,Silver Plan,Yes,8,CHINA,40.09,10.51,M,65
C2B,Airlines,Online,Annual Silver Plan,Yes,382,SINGAPORE,325.97,93.72,M,56
C2B,Airlines,Online,Annual Silver Plan,Yes,383,SINGAPORE,192.02,61.8,M,25
C2B,Airlines,Online,Annual Silver Plan,Yes,383,SINGAPORE,215.98,55.19,M,35
C2B,Travel Agency,Online,Annual Silver Plan,Yes,414,SINGAPORE,207.18,127.81,M,51
C2B,Airlines,Online,Annual Silver Plan,Yes,421,SINGAPORE,207.88,148.1,M,55
LWC,Travel Agency,Online,Annual Travel Protect Silver,Yes,378,CHINA,145.83,118.24,F,55
LWC,Travel Agency,Online,Annual Gold Plan,Yes,381,SINGAPORE,307.89,114.89,M,47
C2B,Airlines,Online,Annual Gold Plan,Yes,412,SINGAPORE,491.5,97.47,M,36
C2B,Airlines,Online,Annual Silver Plan,Yes,353,SINGAPORE,245.33,19.62,M,40
C2B,Airlines,Online,Annual Silver Plan,Yes,359,SINGAPORE,217.66,91.66,F,59
C2B,Airlines,Online,Annual Silver Plan,Yes,384,SINGAPORE,218.34,54.38,F,34
C2B,Airlines,Online,Annual Silver Plan,Yes,376,SINGAPORE,228.15,57.03,M,45
LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,Yes,68,PHILIPPINES,68.18,13.17,F,24
C2B,Airlines,Online,Annual Silver Plan,Yes,416,SINGAPORE,230.32,57.66,M,32
LWC,Travel Agency,Online,Annual Travel Protect Gold,Yes,378,UNITED STATES,263.31,172.14,M,59
C2B,Airlines,Online,Annual Silver Plan,Yes,376,SINGAPORE,276.54,108.73,F,43
LWC,Travel Agency,Online,Annual Travel Protect Silver,Yes,365,CHINA,50.57,118.52,M,27
LWC,Travel Agency,Online,Annual Travel Protect Gold,Yes,346,CHINA,181.46,152.16,M,39
C2B,Airlines,Online,Annual Silver Plan,Yes,398,SINGAPORE,283.01,157.07,F,25
LWC,Travel Agency,Online,Annual Silver Plan,Yes,351,SINGAPORE,315.52,48.46,F,44
C2B,Airlines,Online,Annual Silver Plan,Yes,412,SINGAPORE,255.19,64.3,F,30
C2B,Airlines,Online,Silver Plan,Yes,17,SINGAPORE,45.39,20.19,M,40
TTW,Travel Agency,Offline,Individual Comprehensive Plan,Yes,327,AUSTRALIA,26.43,3.71,F,27
C2B,Airlines,Online,Annual Silver Plan,Yes,349,SINGAPORE,257.58,18.7,M,32
C2B,Airlines,Online,Annual Silver Plan,Yes,434,SINGAPORE,241.33,62.42,M,29
C2B,Airlines,Online,Annual Silver Plan,Yes,389,SINGAPORE,226.18,63.1,F,41
LWC,Travel Agency,Online,Annual Gold Plan,Yes,367,SINGAPORE,299.67,68.3,F,36
LWC,Travel Agency,Online,Annual Travel Protect Silver,Yes,405,CHINA,202.08,73.68,F,29
C2B,Airlines,Online,Annual Silver Plan,Yes,377,SINGAPORE,361.19,103.15,M,33
C2B,Airlines,Online,Annual Silver Plan,Yes,366,SINGAPORE,184.07,43.23,M,51
TTW,Travel Agency,Online,Annual Gold Plan,Yes,365,SINGAPORE,247.88,25.6,F,44
C2B,Airlines,Online,Annual Silver Plan,Yes,387,SINGAPORE,230.42,57.03,M,46
C2B,Airlines,Online,Annual Silver Plan,Yes,374,SINGAPORE,169.51,55.6,M,30
C2B,Airlines,Online,Annual Silver Plan,Yes,410,SINGAPORE,184.25,54.6,F,62
C2B,Airlines,Online,Annual Silver Plan,Yes,392,SINGAPORE,310.93,80.92,M,33
C2B,Airlines,Online,Annual Silver Plan,Yes,427,SINGAPORE,301.68,159.77,M,29
C2B,Airlines,Online,Annual Silver Plan,Yes,331,SINGAPORE,344.94,142.18,M,48
C2B,Airlines,Online,Annual Silver Plan,Yes,392,SINGAPORE,208.25,54.88,M,37
LWC,Travel Agency,Online,Annual Travel Protect Gold,Yes,387,CHINA,217.74,117.5,F,56
C2B,Airlines,Online,Annual Silver Plan,Yes,372,SINGAPORE,230.27,156.68,M,26
C2B,Airlines,Online,Silver Plan,Yes,18,SINGAPORE,43.45,13.48,M,30
C2B,Airlines,Online,Annual Silver Plan,Yes,370,SINGAPORE,248.04,69.11,M,33
LWC,Travel Agency,Online,Annual Travel Protect Silver,Yes,387,CHINA,173.05,48.99,F,38
