Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
C2B,Airlines,Online,Silver Plan,Yes,15.0,SINGAPORE,40.5,10.13,F,23.0
C2B,Airlines,Online,Silver Plan,Yes,25.0,SINGAPORE,88.5,22.13,F,28.0
JZI,Airlines,Online,Basic Plan,No,9.0,CHINA,22.0,7.7,M,56.0
C2B,Airlines,Online,Annual Silver Plan,Yes,364.0,SINGAPORE,216.0,54.0,M,50.0
C2B,Airlines,Online,Silver Plan,No,22.0,SINGAPORE,72.0,18.0,F,29.0
C2B,Airlines,Online,Silver Plan,Yes,55.0,SINGAPORE,109.0,27.25,M,36.0
C2B,Airlines,Online,Annual Silver Plan,Yes,366.0,SINGAPORE,216.0,54.0,M,26.0
JZI,Airlines,Online,Basic Plan,Yes,15.0,HONG KONG,22.0,7.7,F,59.0
JZI,Airlines,Online,Basic Plan,No,14.0,CHINA,26.0,9.1,M,30.0
C2B,Airlines,Online,Bronze Plan,Yes,3.0,SINGAPORE,18.0,4.5,M,37.0
C2B,Airlines,Online,Bronze Plan,Yes,3.0,SINGAPORE,13.5,3.38,M,36.0
C2B,Airlines,Online,Annual Silver Plan,Yes,366.0,SINGAPORE,252.85,63.21,F,22.0
C2B,Airlines,Online,Silver Plan,Yes,60.0,SINGAPORE,86.4,21.6,M,26.0
C2B,Airlines,Online,Silver Plan,No,107.0,SINGAPORE,54.5,13.63,F,31.0
C2B,Airlines,Online,Bronze Plan,No,13.0,SINGAPORE,29.5,7.38,F,30.0
JWT,Airlines,Online,Value Plan,No,48.0,INDIA,72.0,28.8,M,118.0
C2B,Airlines,Online,Annual Silver Plan,Yes,364.0,SINGAPORE,252.85,63.21,F,34.0
C2B,Airlines,Online,Annual Silver Plan,Yes,366.0,SINGAPORE,252.85,63.21,M,34.0
JZI,Airlines,Online,Basic Plan,No,11.0,INDIA,35.0,12.25,M,51.0
C2B,Airlines,Online,Bronze Plan,No,99.0,SINGAPORE,60.0,15.0,F,34.0
C2B,Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,252.85,63.21,F,22.0
C2B,Airlines,Online,Silver Plan,Yes,12.0,SINGAPORE,48.5,12.13,F,28.0
C2B,Airlines,Online,Silver Plan,Yes,48.0,SINGAPORE,72.0,18.0,M,47.0
RAB,Airlines,Online,Value Plan,No,18.0,MALAYSIA,15.0,6.0,M,56.0
C2B,Airlines,Online,Bronze Plan,No,11.0,SINGAPORE,17.55,4.39,M,33.0
C2B,Airlines,Online,Annual Silver Plan,No,382.0,SINGAPORE,216.0,54.0,M,29.0
C2B,Airlines,Online,Bronze Plan,No,21.0,SINGAPORE,39.0,9.75,F,57.0
C2B,Airlines,Online,Bronze Plan,No,3.0,SINGAPORE,15.0,3.75,M,44.0
C2B,Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,252.85,63.21,F,34.0
C2B,Airlines,Online,Silver Plan,No,33.0,SINGAPORE,42.5,10.63,F,30.0
C2B,Airlines,Online,Bronze Plan,No,13.0,SINGAPORE,20.0,5.0,F,30.0
C2B,Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,252.85,63.21,F,33.0
C2B,Airlines,Online,Silver Plan,No,5.0,SINGAPORE,29.5,7.38,M,22.0
C2B,Airlines,Online,Bronze Plan,Yes,12.0,SINGAPORE,23.5,5.88,F,22.0
JZI,Airlines,Online,Basic Plan,No,7.0,VIET NAM,22.0,7.7,M,37.0
C2B,Airlines,Online,Silver Plan,Yes,12.0,SINGAPORE,18.5,4.63,F,36.0
C2B,Airlines,Online,Bronze Plan,No,11.0,SINGAPORE,57.85,14.46,M,36.0
C2B,Airlines,Online,Annual Silver Plan,Yes,381.0,SINGAPORE,187.85,46.96,F,60.0
JZI,Airlines,Online,Basic Plan,No,24.0,PHILIPPINES,22.0,7.7,M,47.0
C2B,Airlines,Online,Annual Silver Plan,Yes,366.0,SINGAPORE,252.85,63.21,F,24.0
C2B,Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,161.0,40.25,M,30.0
JZI,Airlines,Online,Basic Plan,No,14.0,THAILAND,22.0,7.7,M,48.0
JZI,Airlines,Online,Basic Plan,No,16.0,THAILAND,18.0,6.3,F,48.0
C2B,Airlines,Online,Bronze Plan,No,17.0,SINGAPORE,23.5,5.88,F,26.0
JZI,Airlines,Online,Value Plan,No,10.0,CHINA,58.0,20.3,M,46.0
C2B,Airlines,Online,Bronze Plan,Yes,48.0,SINGAPORE,30.55,7.64,M,36.0
C2B,Airlines,Online,Silver Plan,Yes,21.0,SINGAPORE,47.5,11.88,F,43.0
C2B,Airlines,Online,Bronze Plan,No,29.0,SINGAPORE,29.5,7.38,F,32.0
C2B,Airlines,Online,Bronze Plan,Yes,49.0,SINGAPORE,21.0,5.25,F,26.0
JZI,Airlines,Online,Value Plan,Yes,3.0,CHINA,26.0,9.1,M,26.0
JZI,Airlines,Online,Basic Plan,No,1.0,CHINA,22.0,7.7,F,50.0
C2B,Airlines,Online,Bronze Plan,Yes,36.0,SINGAPORE,16.0,4.0,F,41.0
JZI,Airlines,Online,Basic Plan,No,53.0,CHINA,26.0,9.1,F,29.0
JZI,Airlines,Online,Basic Plan,No,12.0,CHINA,0.0,7.7,M,37.0
C2B,Airlines,Online,Annual Silver Plan,Yes,382.0,SINGAPORE,0.0,15.57,F,41.0
C2B,Airlines,Online,Bronze Plan,No,29.0,SINGAPORE,20.0,5.0,M,35.0
C2B,Airlines,Online,Bronze Plan,Yes,8.0,SINGAPORE,30.55,7.64,F,27.0
JZI,Airlines,Online,Basic Plan,No,48.0,INDIA,40.0,14.0,F,50.0
C2B,Airlines,Online,Bronze Plan,No,13.0,SINGAPORE,23.5,5.88,F,25.0
C2B,Airlines,Online,Annual Silver Plan,No,373.0,SINGAPORE,216.0,54.0,F,27.0
C2B,Airlines,Online,Bronze Plan,Yes,12.0,SINGAPORE,40.0,10.0,F,38.0
JZI,Airlines,Online,Basic Plan,Yes,5.0,CHINA,26.0,9.1,M,61.0
C2B,Airlines,Online,Silver Plan,Yes,12.0,SINGAPORE,18.5,4.63,F,34.0
C2B,Airlines,Online,Silver Plan,Yes,3.0,SINGAPORE,15.0,3.75,M,26.0
C2B,Airlines,Online,Silver Plan,No,13.0,SINGAPORE,0.0,10.25,F,36.0
C2B,Airlines,Online,Bronze Plan,No,8.0,SINGAPORE,20.0,5.0,M,26.0
C2B,Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,291.75,72.94,M,28.0
C2B,Airlines,Online,Silver Plan,No,7.0,SINGAPORE,22.5,5.63,M,41.0
C2B,Airlines,Online,Bronze Plan,Yes,13.0,SINGAPORE,20.0,5.0,F,33.0
C2B,Airlines,Online,Bronze Plan,No,4.0,SINGAPORE,33.5,8.38,F,32.0
C2B,Airlines,Online,Bronze Plan,Yes,60.0,SINGAPORE,30.55,7.64,M,36.0
C2B,Airlines,Online,Silver Plan,Yes,17.0,SINGAPORE,63.5,15.88,F,42.0
C2B,Airlines,Online,Bronze Plan,No,10.0,SINGAPORE,29.5,7.38,M,32.0
C2B,Airlines,Online,Gold Plan,No,70.0,SINGAPORE,91.0,22.75,F,25.0
C2B,Airlines,Online,Bronze Plan,No,17.0,SINGAPORE,29.5,7.38,M,30.0
JWT,Airlines,Online,Value Plan,No,26.0,INDIA,31.0,12.4,M,118.0
C2B,Airlines,Online,Bronze Plan,Yes,6.0,SINGAPORE,14.95,3.74,F,24.0
C2B,Airlines,Online,Annual Silver Plan,Yes,366.0,SINGAPORE,216.0,54.0,M,21.0
KML,Travel Agency,Online,Premier Plan,No,11.0,UNITED STATES,111.0,42.18,M,45.0
RAB,Airlines,Online,Value Plan,No,63.0,BRUNEI DARUSSALAM,15.0,6.0,M,38.0
CCR,Travel Agency,Offline,Comprehensive Plan,No,9.0,THAILAND,29.0,9.57,F,61.0
JZI,Airlines,Online,Basic Plan,No,53.0,PHILIPPINES,33.0,11.55,F,34.0
JZI,Airlines,Online,Value Plan,No,10.0,THAILAND,58.0,20.3,M,48.0
C2B,Airlines,Online,Bronze Plan,No,17.0,SINGAPORE,21.0,5.25,F,25.0
JZI,Airlines,Online,Value Plan,No,84.0,KOREA,69.0,24.15,F,34.0
C2B,Airlines,Online,Bronze Plan,Yes,12.0,SINGAPORE,29.0,9.59,F,22.0
JZI,Airlines,Online,Basic Plan,No,51.0,MALAYSIA,22.0,7.7,M,31.0
C2B,Airlines,Online,Bronze Plan,No,7.0,SINGAPORE,23.5,5.88,M,39.0
JZI,Airlines,Online,Basic Plan,No,6.0,MALAYSIA,22.0,7.7,M,40.0
JZI,Airlines,Online,Basic Plan,No,2.0,KOREA,26.0,9.1,F,35.0
C2B,Airlines,Online,Silver Plan,No,9.0,SINGAPORE,0.0,6.13,M,35.0
C2B,Airlines,Online,Silver Plan,Yes,28.0,SINGAPORE,72.0,18.0,F,23.0
C2B,Airlines,Online,Silver Plan,Yes,5.0,SINGAPORE,41.5,10.38,F,22.0
C2B,Airlines,Online,Bronze Plan,No,14.0,SINGAPORE,20.0,5.0,F,60.0
TST,Travel Agency,Offline,Travel Cruise Protect,No,21.0,THAILAND,30.0,10.5,M,72.0
C2B,Airlines,Online,Bronze Plan,No,5.0,SINGAPORE,16.2,4.05,M,44.0
C2B,Airlines,Online,Silver Plan,No,14.0,SINGAPORE,33.5,8.38,F,28.0
C2B,Airlines,Online,Silver Plan,Yes,366.0,SINGAPORE,216.0,54.0,M,37.0
C2B,Airlines,Online,Annual Silver Plan,Yes,366.0,SINGAPORE,216.0,54.0,F,35.0
JZI,Airlines,Online,Value Plan,No,41.0,HONG KONG,45.0,15.75,M,27.0
C2B,Airlines,Online,Bronze Plan,No,4.0,SINGAPORE,16.0,4.0,F,32.0
JZI,Airlines,Online,Basic Plan,Yes,29.0,MALAYSIA,0.0,20.3,F,51.0
C2B,Airlines,Online,Silver Plan,No,29.0,SINGAPORE,54.5,13.63,F,32.0
C2B,Airlines,Online,Silver Plan,Yes,19.0,SINGAPORE,40.0,10.0,F,23.0
C2B,Airlines,Online,Silver Plan,Yes,10.0,SINGAPORE,29.5,7.38,F,22.0
C2B,Airlines,Online,Silver Plan,No,30.0,SINGAPORE,47.5,11.88,M,28.0
C2B,Airlines,Online,Bronze Plan,No,14.0,SINGAPORE,22.1,5.53,M,68.0
JZI,Airlines,Online,Basic Plan,No,20.0,THAILAND,22.0,7.7,F,44.0
C2B,Airlines,Online,Bronze Plan,No,9.0,SINGAPORE,16.0,4.0,M,31.0
C2B,Airlines,Online,Silver Plan,No,20.0,SINGAPORE,22.5,5.63,F,25.0
JZI,Airlines,Online,Basic Plan,No,3.0,MALAYSIA,22.0,7.7,M,56.0
C2B,Airlines,Online,Bronze Plan,No,5.0,SINGAPORE,32.9,8.22,M,36.0
C2B,Airlines,Online,Bronze Plan,Yes,9.0,SINGAPORE,29.5,7.38,F,73.0
C2B,Airlines,Online,Bronze Plan,Yes,83.0,SINGAPORE,53.0,13.25,F,34.0
C2B,Airlines,Online,Silver Plan,No,12.0,SINGAPORE,18.5,4.63,F,24.0
JWT,Airlines,Online,Value Plan,No,30.0,INDIA,78.0,19.2,F,118.0
JZI,Airlines,Online,Basic Plan,Yes,241.0,PHILIPPINES,37.0,12.95,F,33.0
C2B,Airlines,Online,Bronze Plan,Yes,2.0,SINGAPORE,11.5,2.88,F,28.0
JZI,Airlines,Online,Basic Plan,No,16.0,CHINA,36.0,12.6,F,118.0
RAB,Airlines,Online,Value Plan,No,12.0,BRUNEI DARUSSALAM,15.0,6.0,M,56.0
C2B,Airlines,Online,Bronze Plan,Yes,35.0,SINGAPORE,61.5,15.38,F,22.0
JZI,Airlines,Online,Basic Plan,Yes,15.0,INDIA,35.0,12.25,M,56.0
C2B,Airlines,Online,Silver Plan,No,20.0,SINGAPORE,72.0,18.0,F,25.0
C2B,Airlines,Online,Annual Silver Plan,Yes,366.0,SINGAPORE,252.85,63.21,M,28.0
C2B,Airlines,Online,Bronze Plan,No,60.0,SINGAPORE,16.0,4.0,M,32.0
C2B,Airlines,Online,Bronze Plan,No,4.0,SINGAPORE,27.0,6.75,F,30.0
C2B,Airlines,Online,Bronze Plan,No,6.0,SINGAPORE,19.2,4.8,M,50.0
RAB,Airlines,Online,Value Plan,Yes,18.0,BRUNEI DARUSSALAM,15.0,6.0,M,43.0
JZI,Airlines,Online,Basic Plan,No,14.0,VIET NAM,18.0,6.3,M,40.0
JZI,Airlines,Online,Basic Plan,Yes,28.0,INDONESIA,30.0,10.5,M,38.0
C2B,Airlines,Online,Silver Plan,Yes,5.0,SINGAPORE,29.0,7.25,M,33.0
C2B,Airlines,Online,Bronze Plan,No,7.0,SINGAPORE,27.0,6.75,M,39.0
JZI,Airlines,Online,Basic Plan,No,6.0,CHINA,22.0,7.7,M,57.0
C2B,Airlines,Online,Bronze Plan,No,18.0,SINGAPORE,40.0,10.0,F,37.0
C2B,Airlines,Online,Bronze Plan,No,13.0,SINGAPORE,40.0,10.0,F,26.0
C2B,Airlines,Online,Bronze Plan,Yes,16.0,SINGAPORE,29.5,7.38,M,22.0
C2B,Airlines,Online,Annual Silver Plan,Yes,366.0,SINGAPORE,161.0,40.25,M,31.0
C2B,Airlines,Online,Bronze Plan,No,99.0,SINGAPORE,60.0,15.0,M,31.0
C2B,Airlines,Online,Bronze Plan,No,9.0,SINGAPORE,20.0,5.0,M,31.0
JZI,Airlines,Online,Value Plan,Yes,46.0,GERMANY,149.0,52.15,F,35.0
JZI,Airlines,Online,Value Plan,No,10.0,CHINA,45.0,15.75,M,55.0
JZI,Airlines,Online,Value Plan,Yes,97.0,JAPAN,45.0,15.75,F,27.0
C2B,Airlines,Online,Gold Plan,Yes,62.0,SINGAPORE,51.0,12.75,F,36.0
C2B,Airlines,Online,Bronze Plan,No,9.0,SINGAPORE,13.5,3.38,M,25.0
C2B,Airlines,Online,Bronze Plan,No,17.0,SINGAPORE,17.55,4.39,F,29.0
C2B,Airlines,Online,Bronze Plan,No,8.0,SINGAPORE,20.0,5.0,M,49.0
C2B,Airlines,Online,Bronze Plan,Yes,13.0,SINGAPORE,23.5,5.88,F,57.0
C2B,Airlines,Online,Silver Plan,Yes,23.0,SINGAPORE,81.5,20.38,F,43.0
C2B,Airlines,Online,Silver Plan,No,11.0,SINGAPORE,60.0,15.0,F,30.0
C2B,Airlines,Online,Bronze Plan,Yes,2.0,SINGAPORE,11.5,2.88,F,29.0
C2B,Airlines,Online,Annual Silver Plan,Yes,366.0,SINGAPORE,216.0,54.0,M,28.0
C2B,Airlines,Online,Silver Plan,Yes,13.0,SINGAPORE,62.0,15.5,F,41.0
C2B,Airlines,Online,Bronze Plan,No,3.0,SINGAPORE,14.95,3.74,M,46.0
C2B,Airlines,Online,Bronze Plan,Yes,13.0,SINGAPORE,26.5,6.63,F,57.0
JZI,Airlines,Online,Basic Plan,No,97.0,JAPAN,22.0,7.7,M,63.0
C2B,Airlines,Online,Silver Plan,No,13.0,SINGAPORE,29.5,7.38,F,68.0
C2B,Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,161.0,40.25,F,30.0
C2B,Airlines,Online,Silver Plan,No,6.0,SINGAPORE,29.5,7.38,M,33.0
C2B,Airlines,Online,Annual Silver Plan,Yes,401.0,SINGAPORE,216.0,54.0,F,28.0
C2B,Airlines,Online,Bronze Plan,Yes,15.0,SINGAPORE,53.0,13.25,F,32.0
C2B,Airlines,Online,Annual Silver Plan,Yes,366.0,SINGAPORE,252.85,63.21,M,57.0
C2B,Airlines,Online,Bronze Plan,Yes,19.0,SINGAPORE,23.4,5.85,F,34.0
C2B,Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,252.85,63.21,M,25.0
C2B,Airlines,Online,Silver Plan,Yes,19.0,SINGAPORE,62.0,15.5,F,27.0
C2B,Airlines,Online,Bronze Plan,Yes,12.0,SINGAPORE,23.5,5.88,F,23.0
JWT,Airlines,Online,Value Plan,Yes,5.0,INDIA,0.0,24.8,M,118.0
JZI,Airlines,Online,Basic Plan,No,48.0,INDONESIA,42.0,14.7,F,40.0
C2B,Airlines,Online,Annual Silver Plan,Yes,364.0,SINGAPORE,216.0,54.0,F,30.0
C2B,Airlines,Online,Silver Plan,No,76.0,SINGAPORE,0.0,19.6,M,39.0
C2B,Airlines,Online,Annual Silver Plan,Yes,364.0,SINGAPORE,252.85,63.21,M,34.0
C2B,Airlines,Online,Bronze Plan,Yes,382.0,SINGAPORE,216.0,54.0,F,29.0
C2B,Airlines,Online,Bronze Plan,Yes,8.0,SINGAPORE,35.5,8.88,F,25.0
C2B,Airlines,Online,Bronze Plan,No,9.0,SINGAPORE,20.0,5.0,M,41.0
C2B,Airlines,Online,Silver Plan,Yes,9.0,SINGAPORE,22.5,5.63,F,25.0
C2B,Airlines,Online,Annual Silver Plan,Yes,364.0,SINGAPORE,259.2,64.8,F,30.0
C2B,Airlines,Online,Silver Plan,Yes,17.0,SINGAPORE,62.0,15.5,F,42.0
C2B,Airlines,Online,Bronze Plan,No,10.0,SINGAPORE,20.0,5.0,M,26.0
C2B,Airlines,Online,Annual Silver Plan,Yes,377.0,SINGAPORE,216.0,54.0,F,30.0
C2B,Airlines,Online,Silver Plan,Yes,365.0,SINGAPORE,112.5,28.13,F,36.0
C2B,Airlines,Online,Annual Silver Plan,Yes,364.0,SINGAPORE,252.85,63.21,F,32.0
JZI,Airlines,Online,Basic Plan,No,17.0,CHINA,26.0,9.1,M,50.0
C2B,Airlines,Online,Annual Silver Plan,Yes,364.0,SINGAPORE,252.85,63.21,F,41.0
C2B,Airlines,Online,Annual Silver Plan,No,409.0,SINGAPORE,252.85,63.21,F,53.0
JZI,Airlines,Online,Basic Plan,No,7.0,CHINA,22.0,7.7,M,39.0
C2B,Airlines,Online,Bronze Plan,No,70.0,SINGAPORE,17.0,4.25,M,39.0
C2B,Airlines,Online,Bronze Plan,Yes,59.0,SINGAPORE,96.6,24.15,F,28.0
C2B,Airlines,Online,Bronze Plan,No,28.0,SINGAPORE,0.0,13.38,F,38.0
C2B,Airlines,Online,Bronze Plan,No,59.0,SINGAPORE,23.5,5.88,F,59.0
TST,Travel Agency,Offline,Travel Cruise Protect,Yes,71.0,THAILAND,30.0,10.5,F,25.0
C2B,Airlines,Online,Annual Silver Plan,Yes,366.0,SINGAPORE,216.0,54.0,F,33.0
CCR,Travel Agency,Offline,Comprehensive Plan,Yes,120.0,THAILAND,29.0,9.57,F,36.0
C2B,Airlines,Online,Bronze Plan,Yes,36.0,SINGAPORE,40.0,10.5,F,37.0
C2B,Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,187.85,46.96,F,28.0
TST,Travel Agency,Offline,Travel Cruise Protect,No,71.0,THAILAND,30.0,10.5,F,53.0
C2B,Airlines,Online,Silver Plan,No,13.0,SINGAPORE,0.0,11.88,F,42.0
C2B,Airlines,Online,Bronze Plan,Yes,36.0,SINGAPORE,40.0,10.0,F,33.0
C2B,Airlines,Online,Silver Plan,Yes,12.0,SINGAPORE,22.5,5.63,M,22.0
C2B,Airlines,Online,Silver Plan,Yes,24.0,SINGAPORE,81.5,20.38,F,41.0
C2B,Airlines,Online,Bronze Plan,Yes,37.0,SINGAPORE,0.0,13.38,F,27.0
C2B,Airlines,Online,Silver Plan,No,86.0,SINGAPORE,109.0,27.25,F,42.0
RAB,Airlines,Online,Value Plan,Yes,3.0,BRUNEI DARUSSALAM,15.0,6.0,F,47.0
C2B,Airlines,Online,Silver Plan,No,27.0,SINGAPORE,47.5,11.88,M,45.0
JZI,Airlines,Online,Basic Plan,No,7.0,PHILIPPINES,22.0,7.7,M,35.0
JZI,Airlines,Online,Basic Plan,No,75.0,THAILAND,22.0,7.7,M,36.0
C2B,Airlines,Online,Silver Plan,No,20.0,SINGAPORE,29.0,7.25,F,48.0
JZI,Airlines,Online,Basic Plan,No,18.0,JAPAN,22.0,7.7,M,36.0
C2B,Airlines,Online,Bronze Plan,No,13.0,SINGAPORE,16.0,4.0,M,25.0
JZI,Airlines,Online,Value Plan,No,13.0,HONG KONG,45.0,15.75,M,49.0
C2B,Airlines,Online,Bronze Plan,Yes,2.0,SINGAPORE,27.0,6.75,F,23.0
C2B,Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,252.85,63.21,F,58.0
JZI,Airlines,Online,Basic Plan,No,59.0,THAILAND,22.0,7.7,F,31.0
C2B,Airlines,Online,Silver Plan,No,16.0,SINGAPORE,72.0,18.0,F,28.0
JZI,Airlines,Online,Value Plan,Yes,16.0,CHINA,0.0,24.15,M,54.0
TST,Travel Agency,Offline,Travel Cruise Protect,No,17.0,MALAYSIA,30.0,10.5,M,69.0
C2B,Airlines,Online,Silver Plan,No,4.0,SINGAPORE,18.5,4.63,M,36.0
C2B,Airlines,Online,Silver Plan,Yes,9.0,SINGAPORE,33.5,8.38,M,26.0
C2B,Airlines,Online,Annual Silver Plan,No,369.0,SINGAPORE,259.2,64.8,M,30.0
C2B,Airlines,Online,Silver Plan,No,14.0,SINGAPORE,29.5,7.38,F,24.0
C2B,Airlines,Online,Annual Silver Plan,Yes,364.0,SINGAPORE,202.3,50.58,F,43.0
JZI,Airlines,Online,Value Plan,No,18.0,INDONESIA,26.0,17.85,F,49.0
JZI,Airlines,Online,Basic Plan,No,15.0,VIET NAM,22.0,7.7,M,61.0
C2B,Airlines,Online,Bronze Plan,Yes,10.0,SINGAPORE,20.0,5.0,F,22.0
C2B,Airlines,Online,Bronze Plan,No,8.0,SINGAPORE,20.0,5.0,F,30.0
JZI,Airlines,Online,Basic Plan,No,10.0,TAIWAN,26.0,9.1,M,67.0
C2B,Airlines,Online,Bronze Plan,Yes,19.0,SINGAPORE,21.0,5.25,F,41.0
JZI,Airlines,Online,Basic Plan,No,8.0,INDONESIA,18.0,6.3,M,30.0
C2B,Airlines,Online,Bronze Plan,Yes,8.0,SINGAPORE,21.0,5.25,F,30.0
C2B,Airlines,Online,Bronze Plan,No,19.0,SINGAPORE,13.5,3.38,F,30.0
C2B,Airlines,Online,Silver Plan,Yes,44.0,SINGAPORE,42.0,10.5,F,21.0
C2B,Airlines,Online,Annual Silver Plan,Yes,372.0,SINGAPORE,216.0,54.0,M,31.0
C2B,Airlines,Online,Silver Plan,No,49.0,SINGAPORE,45.0,11.25,F,75.0
C2B,Airlines,Online,Bronze Plan,Yes,8.0,SINGAPORE,13.5,3.38,F,30.0
C2B,Airlines,Online,Annual Silver Plan,Yes,364.0,SINGAPORE,161.0,40.25,F,30.0
C2B,Airlines,Online,Annual Silver Plan,No,367.0,SINGAPORE,252.85,63.21,M,42.0
C2B,Airlines,Online,Silver Plan,Yes,11.0,SINGAPORE,48.5,12.13,F,28.0
C2B,Airlines,Online,Bronze Plan,Yes,2.0,SINGAPORE,11.5,2.88,F,26.0
C2B,Airlines,Online,Silver Plan,No,17.0,SINGAPORE,29.0,7.25,F,76.0
JZI,Airlines,Online,Basic Plan,No,74.0,HONG KONG,26.0,9.1,M,29.0
C2B,Airlines,Online,Silver Plan,Yes,48.0,SINGAPORE,63.5,15.88,F,22.0
C2B,Airlines,Online,Bronze Plan,Yes,9.0,SINGAPORE,20.0,5.0,M,36.0
C2B,Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,252.85,63.21,F,62.0
JZI,Airlines,Online,Value Plan,Yes,105.0,KOREA,45.0,15.75,F,19.0
C2B,Airlines,Online,Annual Silver Plan,Yes,366.0,SINGAPORE,252.85,63.21,F,39.0
C2B,Airlines,Online,Bronze Plan,No,5.0,SINGAPORE,20.0,5.0,F,24.0
C2B,Airlines,Online,Silver Plan,Yes,10.0,SINGAPORE,41.0,10.25,F,26.0
JZI,Airlines,Online,Basic Plan,No,241.0,PHILIPPINES,37.0,12.95,F,35.0
C2B,Airlines,Online,Silver Plan,Yes,21.0,SINGAPORE,70.85,17.71,F,57.0
C2B,Airlines,Online,Bronze Plan,No,9.0,SINGAPORE,20.0,5.0,F,30.0
C2B,Airlines,Online,Bronze Plan,No,16.0,SINGAPORE,17.0,4.25,F,34.0
C2B,Airlines,Online,Silver Plan,Yes,60.0,SINGAPORE,47.5,11.88,F,43.0
C2B,Airlines,Online,Silver Plan,Yes,13.0,SINGAPORE,0.0,11.88,F,42.0
C2B,Airlines,Online,Silver Plan,Yes,21.0,SINGAPORE,35.0,8.75,F,57.0
C2B,Airlines,Online,Bronze Plan,Yes,13.0,SINGAPORE,47.0,11.75,M,31.0
C2B,Airlines,Online,Bronze Plan,Yes,10.0,SINGAPORE,17.55,4.39,F,34.0
C2B,Airlines,Online,Silver Plan,Yes,35.0,SINGAPORE,40.0,10.0,F,41.0
LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,No,22.0,KOREA,26.5,17.23,M,76.0
C2B,Airlines,Online,Bronze Plan,No,10.0,SINGAPORE,16.0,4.0,M,43.0
C2B,Airlines,Online,Silver Plan,Yes,48.0,SINGAPORE,41.0,10.25,F,28.0
C2B,Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,161.0,40.25,F,30.0
JZI,Airlines,Online,Basic Plan,Yes,12.0,CHINA,22.0,7.7,M,25.0
JZI,Airlines,Online,Basic Plan,No,15.0,CHINA,26.0,9.1,F,26.0
JZI,Airlines,Online,Basic Plan,No,18.0,THAILAND,22.0,7.7,F,28.0
